Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590082643,78.002708,82.5,0.261733449,0.0005,0.25,0.157310573,0,0,83.35,0.0005,0.25185119,1,1,0.268,2.201892007,1614.8,46.79,557.6,26.63028,0.833595636
1590082644,79.004077,82.5,0.260047285,0.0005,0.25,0.156678874,0,0,83.37,0.0005,0.251792857,1,1,0.252,2.22471632,1793.8,47.87,522.2,28.36644,0.841289566
1590082645,80.008739,82.5,0.256183465,0.0005,0.25,0.157703563,0,0,83.44,0.0005,0.25185119,1,1,0.245,2.246687868,1779.2,48.55,539.8,28.4106,0.849030194
1590082646,81.005572,82.5,0.255675984,0.0005,0.25,0.155649416,0,0,83.52,0.0005,0.256390476,1,1,0.262,2.268644045,1779.8,45.06,524.8,28.29804,0.856208152
1590082647,82.003623,82.5,0.250683109,0.0005,0.25,0.153822915,0,0,83.56,0.0005,0.251753571,1,1,0.265,2.28922934,1742.8,46.45,548.6,28.0542,0.863947633
1590082648,83.004614,82.5,0.246473743,0.0005,0.25,0.156252132,0,0,83.63,0.0005,0.242683333,1,1,0.244,2.311308451,1718.6,46.99,527,27.51108,0.871541368
1590082649,84.006135,82.5,0.245846395,0.0005,0.25,0.158251777,0,0,83.66,0.0005,0.247233333,1,1,0.277,2.333525603,1676.8,47.15,550.2,27.2898,0.87913295
1590082650,85.003703,82.5,0.243203571,0.0005,0.25,0.158059673,0,0,83.71,0.0005,0.25185119,1,1,0.235,2.355687274,1654.4,46.68,544.8,26.95056,0.886639583
1590082651,86.008059,82.5,0.246092376,0.0005,0.25,0.156058567,0,0,83.72,0.0005,0.256429762,1,1,0.281,2.375328948,1714,45.65,564.4,28.06608,0.893669731
1590082653,87.018749,82.5,0.240212328,0.0005,0.25,0.15824499,0,0,83.77,0.0005,0.2473,1,1,0.252,2.397168209,1677.6,47.44,518.8,26.92608,0.901899331
1590082654,88.019676,82.5,0.240336739,0.0005,0.25,0.157625858,0,0,83.76,0.0005,0.256429762,1,1,0.247,2.418470753,1676.4,46.81,584,27.00636,0.908715359
1590082655,89.02157,82.5,0.237219853,0.0005,0.25,0.155611924,0,0,83.85,0.0005,0.256429762,1,1,0.254,2.441487917,1578.2,45.02,582,25.39584,0.916192679
1590082656,90.020541,82.5,0.236498044,0.0005,0.25,0.154678325,0,0,83.8,0.0005,0.24722381,1,1,0.239,2.466378671,1649.4,46.51,574.4,27.24372,0.92351821
1590082657,91.021507,82.5,0.232973415,0.0005,0.25,0.157032881,0,0,83.87,0.0005,0.242664286,1,1,0.261,2.487026253,1648,47.38,571.8,27.20616,0.930710848
1590082658,92.023406,82.5,0.233013596,0.0005,0.25,0.156671096,0,0,83.91,0.0005,0.25185119,1,1,0.234,2.513167098,1632.4,45.65,543.6,26.6598,0.938032197
1590082659,93.021375,82.5,0.230235469,0.0005,0.25,0.154624414,0,0,83.84,0.0005,0.251734524,1,1,0.291,2.533581034,1429.8,45.25,525,24.0006,0.945132671
1590082660,94.020353,82.5,0.22906034,0.0005,0.25,0.155118367,0,0,83.92,0.0005,0.247271429,1,1,0.291,2.553080216,1501.6,46.59,506.8,24.65988,0.952244854
1590082661,95.021484,82.5,0.22947848,0.0005,0.25,0.158311187,0,0,83.91,0.0005,0.242692857,1,1,0.259,2.570684662,1604.4,47.77,504.2,25.87644,0.958909937
1590082662,96.019526,82.5,0.22469179,0.0005,0.25,0.156777776,0,0,83.99,0.0005,0.2564,1,1,0.24,2.595421713,1516.6,45.37,514.4,24.91644,0.966265985
1590082663,97.02038,82.5,0.225897045,0.0005,0.25,0.155217227,0,0,83.94,0.0005,0.256429762,1,1,0.246,2.619315807,1461.6,45.02,538.6,24.54264,0.973058721
1590082664,98.023271,82.5,0.223487212,0.0005,0.25,0.155992646,0,0,83.95,0.0005,0.242692857,1,1,0.27,2.640651903,1568.6,47.05,531.6,25.767,0.980106744
1590082665,99.027561,82.5,0.222690924,0.0005,0.25,0.158413266,0,0,84.01,0.0005,0.247271429,1,1,0.271,2.66072266,1561,47.86,500,25.30632,0.987102276
1590082666,100.019363,82.5,0.222276278,0.0005,0.25,0.155192246,0,0,83.98,0.0005,0.25185119,1,1,0.27,2.677591115,1386.6,45.31,542.2,24.52488,0.993558171
1590082667,101.020592,82.5,0.22026538,0.0005,0.25,0.154783673,0,0,83.97,0.0005,0.247309524,1,1,0.297,2.695245843,1547,44.93,537.4,25.55196,1.000665709
1590082668,102.019818,82.5,0.220241679,0.0005,0.25,0.155808234,0,0,84.03,0.0005,0.242664286,1,1,0.304,2.710416256,1418.6,46.65,559,24.291,1.007644412
1590082669,103.019846,82.5,0.217012891,0.0005,0.25,0.157084299,0,0,84.05,0.0005,0.242692857,1,1,0.278,2.727338753,1476.2,47.48,536.6,24.72336,1.014307836
