Time (s),Run A Diameter (mm),Run B Diameter (mm)
55.9,0.341259,0.327588
56,0.341259,0.327588
56.1,0.354929,0.341259
56.2,0.354929,0.341259
56.3,0.3686,0.341259
56.4,0.3686,0.327588
56.5,0.38227,0.341259
56.6,0.395941,0.341259
56.7,0.395941,0.341259
56.8,0.395941,0.341259
56.9,0.395941,0.341259
57,0.395941,0.341259
57.1,0.395941,0.341259
57.2,0.395941,0.327588
57.3,0.395941,0.327588
57.4,0.395941,0.327588
57.5,0.395941,0.327588
57.6,0.395941,0.327588
57.7,0.395941,0.327588
57.8,0.395941,0.327588
57.9,0.395941,0.327588
58,0.395941,0.327588
58.1,0.395941,0.327588
58.2,0.395941,0.327588
58.3,0.395941,0.327588
58.4,0.409611,0.327588
58.5,0.409611,0.327588
58.6,0.409611,0.327588
58.7,0.409611,0.327588
58.8,0.409611,0.341259
58.9,0.409611,0.354929
59,0.409611,0.3686
59.1,0.409611,0.3686
59.2,0.409611,0.3686
59.3,0.409611,0.3686
59.4,0.395941,0.38227
59.5,0.395941,0.3686
59.6,0.38227,0.3686
59.7,0.38227,0.3686
59.8,0.38227,0.38227
59.9,0.38227,0.3686
60,0.38227,0.3686
60.1,0.38227,0.3686
60.2,0.38227,0.3686
60.3,0.38227,0.3686
60.4,0.38227,0.3686
60.5,0.38227,0.3686
60.6,0.38227,0.3686
60.7,0.38227,0.38227
60.8,0.38227,0.38227
60.9,0.38227,0.38227
61,0.395941,0.38227
61.1,0.395941,0.38227
61.2,0.38227,0.38227
61.3,0.38227,0.38227
61.4,0.395941,0.38227
61.5,0.38227,0.38227
61.6,0.38227,0.38227
61.7,0.38227,0.395941
61.8,0.38227,0.395941
61.9,0.38227,0.395941
62,0.38227,0.395941
62.1,0.3686,0.395941
62.2,0.3686,0.395941
62.3,0.3686,0.395941
62.4,0.3686,0.395941
62.5,0.3686,0.395941
62.6,0.3686,0.409611
62.7,0.3686,0.395941
62.8,0.3686,0.38227
62.9,0.354929,0.38227
