Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
261.9854417,0.001,1.06503,127,0.21,1.067,2,0.207
262.984705,0.001,1.06335,127,0.21,1.065,2,0.189
263.9865139,0.001,1.05891,127,0.21,1.061,2,0.202
264.9864149,0.001,1.05642,127,0.21,1.058,2,0.205
265.9896042,0.001,1.05341,127,0.21,1.054,2,0.195
266.9873478,0.001,1.05043,127,0.21,1.052,2,0.224
267.9928124,0.001,1.0578,127,0.21,1.05,2,0.234
268.9876816,0.001,1.06671,127,0.21,1.058,2,0.22
269.9862452,0.001,1.07187,127,0.21,1.065,2,0.216
270.9881206,0.001,1.09426,127,0.21,1.08,2,0.234
271.9893253,0.001,1.10599,127,0.21,1.094,2,0.235
272.9884274,0.001,1.11786,127,0.21,1.108,2,0.247
273.9855807,0.001,1.1308,127,0.21,1.115,2,0.231
274.9957907,0.001,1.13618,127,0.21,1.127,2,0.223
275.9871707,0.001,1.13928,127,0.21,1.129,2,0.2
276.991982,0.001,1.13538,127,0.21,1.134,2,0.213
277.9894423,0.001,1.13038,127,0.21,1.128,2,0.199
278.996295,0.001,1.12583,127,0.21,1.126,2,0.209
279.9942756,0.001,1.12434,127,0.21,1.127,2,0.213
280.9930148,0.001,1.12034,127,0.21,1.125,2,0.189
282.0019734,0.001,1.11339,127,0.21,1.12,2,0.2
283.0130849,0.001,1.10858,127,0.21,1.114,2,0.204
284.0060771,0.001,1.10706,127,0.21,1.11,3,0.195
284.9871933,0.001,1.10501,127,0.21,1.103,3,0.204
285.9875121,0.001,1.10202,127,0.21,1.101,3,0.196
286.9941709,0.001,1.09977,127,0.21,1.102,3,0.204
287.9896407,0.001,1.09714,127,0.21,1.101,3,0.196
288.9868851,0.001,1.09308,127,0.21,1.095,3,0.203
289.9866884,0.001,1.08764,127,0.21,1.088,3,0.192
290.98964,0.001,1.08041,127,0.21,1.088,3,0.198
291.9841008,0.001,1.07385,127,0.21,1.08,3,0.179
292.9873044,0.001,1.06267,127,0.21,1.071,3,0.186
293.9875143,0.001,1.05474,127,0.21,1.065,3,0.199
294.9872394,0.001,1.05005,127,0.21,1.061,3,0.197
295.9914598,0.001,1.04084,127,0.21,1.05,3,0.186
296.989563,0.001,1.03145,127,0.21,1.036,3,0.198
297.9869726,0.001,1.0238,127,0.21,1.029,3,0.195
298.9864936,0.001,1.01219,127,0.21,1.022,3,0.171
299.9859824,0.001,1.00104,127,0.21,1.011,3,0.175
300.9853799,0.001,0.990589,127,0.21,1.001,3,0.182
301.9903131,0.001,0.977775,127,0.21,0.986,3,0.19
302.9925325,0.001,0.963509,127,0.21,0.973,3,0.183
303.9879985,0.001,0.952071,127,0.21,0.96,3,0.172
304.9931285,0.001,0.94217,127,0.21,0.951,3,0.168
305.9893754,0.001,0.925353,127,0.21,0.941,3,0.184
306.9911449,0.001,0.917836,127,0.21,0.928,3,0.195
307.9936571,0.001,0.907271,127,0.21,0.917,3,0.186
308.9897244,0.001,0.903727,127,0.21,0.91,3,0.225
309.9858658,0.001,0.905831,127,0.21,0.909,3,0.189
310.9904242,0.001,0.899333,127,0.21,0.903,3,0.192
311.9860439,0.001,0.895571,127,0.21,0.898,3,0.211
312.9867933,0.001,0.898573,127,0.21,0.901,3,0.227
314.0439746,0.001,0.906054,127,0.21,0.903,3,0.222
315.2115502,0.001,0.910251,127,0.21,0.905,3,0.235
316.2233357,0.001,0.916064,127,0.21,0.908,3,0.245
317.0717497,0.001,0.927846,127,0.21,0.919,3,0.237
317.9896564,0.001,0.9329,127,0.21,0.926,3,0.199
318.984823,0.001,0.930019,127,0.21,0.927,3,0.216
320.0069637,0.001,0.928718,127,0.21,0.927,3,0.206
321.0192616,0.001,0.925591,127,0.21,0.926,3,0.185
