Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
266.0019839,0.001,1,127,0,0.998,3,0.214
267.0006282,0.001,1,127,0,0.998,3,0.216
268.0037613,0.001,1,127,0,0.998,3,0.212
269.0035625,0.001,1,127,0,1,3,0.199
270.0067422,0.001,1,127,0,0.997,3,0.199
271.0057018,0.001,1,127,0,1,3,0.213
272.0017173,0.001,1,127,0,1.001,3,0.204
273.0058897,0.001,1,127,0,1.002,3,0.214
274.0165827,0.001,1,127,0,1.004,3,0.204
275.0140073,0.001,1,127,0,1.003,3,0.195
276.0229025,0.001,1,127,0,1.004,3,0.194
277.0148644,0.001,1,127,0,1.003,3,0.192
278.0340996,0.001,1,127,0,1.002,3,0.198
279.0384064,0.001,1,127,0,1.001,3,0.195
280.0393317,0.001,1,127,0,1,3,0.198
281.041996,0.001,1,127,0,1,3,0.195
282.0028427,0.001,1,127,0,0.997,3,0.214
283.0026896,0.001,1,127,0,0.998,3,0.208
284.0448799,0.001,1,127,0,0.998,3,0.216
285.0024121,0.001,1,127,0,1,3,0.23
286.0029354,0.001,1,127,0,1.001,3,0.239
287.0630791,0.001,1,127,0,1.005,3,0.226
288.0563557,0.001,1,127,0,1.004,3,0.236
289.0734577,0.001,1,127,0,1.003,3,0.238
290.2601435,0.001,1,127,0,1.001,3,0.233
291.0029104,0.001,1,127,0,1.001,3,0.224
292.002636,0.001,1,127,0,1.002,3,0.232
293.0031204,0.001,1,127,0,1,3,0.228
294.0027475,0.001,1,127,0,1,3,0.225
295.0059564,0.001,1,127,0,0.997,3,0.223
296.0078483,0.001,1,127,0,0.998,3,0.225
297.00649,0.001,1,127,0,0.998,3,0.216
298.0051494,0.001,1,127,0,1,3,0.213
299.0014193,0.001,1,127,0,0.998,3,0.217
300.0013449,0.001,1,127,0,1.002,3,0.206
301.0038579,0.001,1,127,0,1.001,3,0.196
302.0021579,0.001,1,127,0,1.002,3,0.2
303.0031188,0.001,1,127,0,1.001,3,0.195
304.0014546,0.001,1,127,0,1.003,3,0.196
305.0026603,0.001,1,127,0,1.002,3,0.189
306.0035779,0.001,1,127,0,1.003,3,0.198
307.0044982,0.001,1,127,0,1.001,3,0.203
308.0032425,0.001,1,127,0,1.001,3,0.199
309.002964,0.001,1,127,0,1,3,0.197
310.0077109,0.001,1,127,0,0.997,3,0.216
311.005784,0.001,1,127,0,0.998,3,0.231
312.0016961,0.001,1,127,0,0.997,3,0.226
313.0027592,0.001,1,127,0,0.997,3,0.219
314.0100365,0.001,1,127,0,0.998,3,0.235
315.004657,0.001,1,127,0,1,3,0.228
316.0206871,0.001,1,127,0,1,3,0.21
317.0272644,0.001,1,127,0,1,3,0.21
318.0364013,0.001,1,127,0,1,3,0.206
319.0429044,0.001,1,127,0,1.002,3,0.2
320.0384493,0.001,1,127,0,1.003,3,0.188
321.0433512,0.001,1,127,0,1.002,3,0.21
322.0031667,0.001,1,127,0,1.002,3,0.213
323.0016341,0.001,1,127,0,1.001,3,0.207
324.0028007,0.001,1,127,0,1.001,3,0.207
325.0030656,0.001,1,127,0,1.001,3,0.229
326.0026097,0.001,1,127,0,1,3,0.212
